"Freq [GHz]","RCSTotal [] - IWavePhi='0deg' IWaveTheta='0deg' Phi='0deg' Theta='0deg'","RCSTotal_1 [] - IWavePhi='0deg' IWaveTheta='0deg' Phi='0deg' Theta='0deg'","RCSTotal_2 [] - IWavePhi='0deg' IWaveTheta='0deg' Phi='0deg' Theta='0deg'","RCSTotal_3 [] - IWavePhi='0deg' IWaveTheta='0deg' Phi='0deg' Theta='0deg'","RCSTotal_4 [] - IWavePhi='0deg' IWaveTheta='0deg' Phi='0deg' Theta='0deg'"
2,0.0163883217939171,,,,
2.01,0.0157814666292661,,,,
2.02,0.0151733616960181,,,,
2.03,0.0145667001900491,,,,
2.04,0.013964160992103,,,,
2.05,0.0133683935771565,,,,
2.06,0.0127820083028727,,,,
2.07,0.0122075588643278,,,,
2.08,0.0116475315988719,,,,
2.09,0.0111043324608696,,,,
2.1,0.0105802733655515,,,,
2.11,0.0100775608450784,,,,
2.12,0.00959828517611449,,,,
2.13,0.00914440831346886,,,,
2.14,0.00871775456943537,,,,
2.15,0.00832000214793124,,,,
2.16,0.00795267410858586,,,,
2.17,0.00761713170502772,,,,
2.18,0.00731456860111929,,,,
2.19,0.00704600607225141,,,,
2.2,0.00681228915180466,,,,
2.21,0.00661408439589692,,,,
2.22,0.00645187816360813,,,,
2.23,0.00632597652900703,,,,
2.24,0.00623650718501049,,,,
2.25,0.00618341979747218,,,,
2.26,0.0061664907688597,,,,
2.27,0.00618532559055559,,,,
2.28,0.00623936565159855,,,,
2.29,0.00632789246146447,,,,
2.3,0.00645003473158781,,,,
2.31,0.00660477577258494,,,,
2.32,0.00679096094954465,,,,
2.33,0.00700730592002858,,,,
2.34,0.0072524054388252,,,,
2.35,0.00752474194500348,,,,
2.36,0.00782269632321683,,,,
2.37,0.00814455544949332,,,,
2.38,0.00848852279089408,,,,
2.39,0.00885272824996795,,,,
2.4,0.0092352374420159,,,,
2.41,0.00963406162213202,,,,
2.42,0.0100471666540106,,,,
2.43,0.0104724840644562,,,,
2.44,0.0109079185847947,,,,
2.45,0.0113513584022409,,,,
2.46,0.0118006838876021,,,,
2.47,0.0122537761542065,,,,
2.48,0.0127085262001767,,,,
2.49,0.0131628426898682,,,,
2.5,0.0136146604040196,,,,
2.51,0.0140619478275709,,,,
2.52,0.0145027158917423,,,,
2.53,0.0149350232705339,,,,
2.54,0.015356985519039,,,,
2.55,0.0157667814674767,,,,
2.56,0.0161626592512288,,,,
2.57,0.0165429428405348,,,,
2.58,0.0169060389109085,,,,
2.59,0.0172504422576932,,,,
2.6,0.0175747413682259,,,,
2.61,0.0178776224892712,,,,
2.62,0.0181578771805414,,,,
2.63,0.018414404099046,,,,
2.64,0.0186462146281593,,,,
2.65,0.0188524375681166,,,,
2.66,0.0190323197135348,,,,
2.67,0.0191852320121935,,,,
2.68,0.0193106693325563,,,,
2.69,0.0194082547255525,,,,
2.7,0.0194777393411095,,,,
2.71,0.019519004497847,,,,
2.72,0.0195320600095589,,,,
2.73,0.01951704763008,,,,
2.74,0.0194742359377051,,,,
2.75,0.0194040224864274,,,,
2.76,0.0193069298132405,,,,
2.77,0.019183602742212,,,,
2.78,0.0190348063079876,,,,
2.79,0.0188614208908857,,,,
2.8,0.018664437954754,,,,
2.81,0.018444954166817,,,,
2.82,0.0182041673711612,,,,
2.83,0.0179433680235908,,,,
2.84,0.017663934595855,,,,
2.85,0.0173673247725631,,,,
2.86,0.0170550691188742,,,,
2.87,0.016728760914233,,,,
2.88,0.0163900509198751,,,,
2.89,0.0160406352349613,,,,
2.9,0.015682249223016,,,,
2.91,0.0153166565418773,,,,
2.92,0.0149456414322007,,,,
2.93,0.0145709989607531,,,,
2.94,0.014194525353163,,,,
2.95,0.0138180103185765,,,,
2.96,0.0134432269188691,,,,
2.97,0.0130719233698822,,,,
2.98,0.0127058146858682,,,,
2.99,0.0123465756192644,,,,
3,0.0119958289915817,,,,
3.01,0.0116551441891756,,,,
3.02,0.011326025708083,,,,
3.03,0.0110099079469319,,,,
3.04,0.0107081499728156,,,,
3.05,0.0104220287615776,,,,
3.06,0.0101527349901466,,,,
3.07,0.00990136870933422,,,,
3.08,0.00966893391496908,,,,
3.09,0.00945633757392843,,,,
3.1,0.00926438452956127,,,,
3.11,0.00909377603624063,,,,
3.12,0.00894510757994073,,,,
3.13,0.00881886818524476,,,,
3.14,0.00871543843288946,,,,
3.15,0.00863509145470308,,,,
3.16,0.00857799118867918,,,,
3.17,0.00854419561478698,,,,
3.18,0.00853365459304124,,,,
3.19,0.00854621285169348,,,,
3.2,0.00858161264789976,,,,
3.21,0.00863949358467252,,,,
3.22,0.00871939721061427,,,,
3.23,0.00882076879611161,,,,
3.24,0.00894296137512198,,,,
3.25,0.00908523740719121,,,,
3.26,0.00924677523877095,,,,
3.27,0.0094266712475188,,,,
3.28,0.00962394416053142,,,,
3.29,0.00983754194422266,,,,
3.3,0.0100663434874765,,,,
3.31,0.010309166764674,,,,
3.32,0.0105647715883222,,,,
3.33,0.0108318674440408,,,,
3.34,0.0111091181134895,,,,
3.35,0.0113951466347686,,,,
3.36,0.0116885446182512,,,,
3.37,0.0119878749083356,,,,
3.38,0.0122916791536917,,,,
3.39,0.0125984865834745,,,,
3.4,0.0129068167211805,,,,
3.41,0.0132151895579734,,,,
3.42,0.0135221289462424,,,,
3.43,0.0138261727517207,,,,
3.44,0.0141258764979328,,,,
3.45,0.0144198212658547,,,,
3.46,0.0147066204134118,,,,
3.47,0.0149849250124048,,,,
3.48,0.0152534309712004,,,,
3.49,0.0155108847065017,,,,
3.5,0.0157560887036097,,,,
3.51,0.0159879064306412,,,,
3.52,0.0162052690691656,,,,
3.53,0.0164071793197422,,,,
3.54,0.0165927161925679,,,,
3.55,0.0167610383967937,,,,
3.56,0.0169113901602298,,,,
3.57,0.0170431009598739,,,,
3.58,0.0171555918613415,,,,
3.59,0.017248376464721,,,,
3.6,0.0173210615201106,,,,
3.61,0.0173733503446306,,,,
3.62,0.017405042186465,,,,
3.63,0.0174160330795703,,,,
3.64,0.0174063160426479,,,,
3.65,0.0173759796236992,,,,
3.66,0.0173252076010032,,,,
3.67,0.0172542760663411,,,,
3.68,0.017163552050874,,,,
3.69,0.017053492554388,,,,
3.7,0.0169246380512129,,,,
3.71,0.0167776129120406,,,,
3.72,0.016613119246945,,,,
3.73,0.0164319333484095,,,,
3.74,0.0162349020207386,,,,
3.75,0.0160229378704356,,,,
3.76,0.0157970133265098,,,,
3.77,0.0155581578443365,,,,
3.78,0.0153074495351702,,,,
3.79,0.0150460133273337,,,,
3.8,0.0147750124791339,,,,
3.81,0.0144956441721057,,,,
3.82,0.0142091354859625,,,,
3.83,0.013916734945431,,,,
3.84,0.0136197079064439,,,,
3.85,0.0133193330280308,,,,
3.86,0.0130168926888041,,,,
3.87,0.0127136713936563,,,,
